"Table 1: Fungicides Applied to National Acres Planted with 'Almonds' In 2018"
"Analyte","Sort Order","Percent Acres Treated","One Time Application Rate","Number of Applications","Rate per Crop Year","Surveyed Acre Treatments","Surveyed Acres","Total Acres",
"Azoxystrobin","320","0.13","0.2","1.2","0.26","170040","19800","19800",
"Benomyl","410","0.02","0.55","1.2","0.67","26160","9500","9500",
"Captan","680","0.19","2.77","1.3","3.82","269230","426600","426600",
"Copper hydroxide","960","0.3","2.25","1.4","3.19","457800","564600","564600",
"Copper oxide","970","0.02","2.87","1.1","3.24","23980","35400","35400",
"Cyprodinil","1130","0.06","0.22","1.1","0.25","71940","8200","8200",
"Iprodione","2470","0.35","0.49","1.2","0.6","457800","123400","123400",
"Maneb","2630","0.13","2.48","1.4","3.51","198380","265500","265500",
"Myclobutanil","3020","0.01","0.15","1.2","0.18","13080","1200","1200",
"Propiconazole","3630","0.23","0.11","1.3","0.15","325910","19900","19900",
"Sulfur","4130","0.01080516706","10.01","1.2","12.35","14133.15851448","62300","62300",
"Thiophanate-methyl","4360","0.11","0.7","1.1","0.82","131890","53400","53400",
"Ziram","4670","0.19","5.06","1.1","6.02","227810","673800","673800",
"Other Fungicides","7001","0","","","","0","282400","282400",
