Analyte,Sort Order,Percent Acres Treated,One Time Application Rate,Number of Applications,Rate per Crop Year,Surveyed Acre Treatments,Surveyed Acres,Total Acres,year
Abamectin,130,0.24,0.01,1.1,0.02,271920,2200,2200,2017
Azinphos-methyl,310,0.07,1.9,1.1,2.21,79310,91500,91500,2017
Chlorpyrifos,820,0.17,1.67,1.1,1.86,192610,180800,180800,2017
Clofentezine,870,0.010198135,0.13,1.1,0.15,11554.48718,700,700,2017
Diazinon,1220,0.09,2.51,1.2,3.09,111240,165000,165000,2017
Esfenvalerate,1620,0.14,0.05,1.5,0.08,216300,6200,6200,2017
Fenbutatin-oxide,1760,0.15,0.67,1.1,0.74,169950,62800,62800,2017
Methidathion,2830,0.07,1.17,1.2,1.46,86520,57900,57900,2017
Permethrin,3350,0.15,0.18,1.3,0.24,200850,20600,20600,2017
Petroleum distillate,3360,0.58,19.07,1.3,25.86,776620,8728500,8728500,2017
Phosmet,3410,0.18,2.49,1.2,3.07,222480,322900,322900,2017
Propargite,3620,0.22,1.88,1.3,2.49,294580,321500,321500,2017
Spinosad,4020,0.05,0.09,1.1,0.1,56650,3000,3000,2017
Other Insecticides,7003,0,,,,0,17700,17700,2017
